id,stockout_days,lost_units,total_demand,fill_rate,avg_on_hand
FOODS_1_105_CA_1_evaluation,0,0.0,44.0,1.0,11.94041065738574
FOODS_1_106_CA_1_evaluation,0,0.0,39.0,1.0,7.736015730876867
FOODS_1_107_CA_1_evaluation,0,0.0,4.0,1.0,4.3058583189049795
FOODS_1_108_CA_1_evaluation,1,4.8413278017588866,36.0,0.8655186721733643,5.075909898366744
FOODS_1_109_CA_1_evaluation,0,0.0,26.0,1.0,8.102760111033382
FOODS_1_110_CA_1_evaluation,0,0.0,108.0,1.0,26.194280720104796
FOODS_1_111_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_112_CA_1_evaluation,2,2.351274597812676,89.0,0.9735811842942396,12.77225833735478
FOODS_1_113_CA_1_evaluation,0,0.0,126.0,1.0,15.450060431338768
FOODS_1_114_CA_1_evaluation,0,0.0,28.0,1.0,5.44593065478184
FOODS_1_115_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_116_CA_1_evaluation,0,0.0,13.0,1.0,4.71840625218315
FOODS_1_117_CA_1_evaluation,0,0.0,38.0,1.0,9.30633318244405
FOODS_1_118_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_119_CA_1_evaluation,3,2.066778193870414,26.0,0.9205085310049841,3.7308607693207287
FOODS_1_120_CA_1_evaluation,0,0.0,33.0,1.0,10.322512915527167
FOODS_1_121_CA_1_evaluation,2,4.7888000480967285,31.0,0.8455225790936539,6.444114249641737
FOODS_1_122_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_123_CA_1_evaluation,2,1.8321969391717836,40.0,0.9541950765207055,5.732995152764021
FOODS_1_124_CA_1_evaluation,0,0.0,33.0,1.0,10.728365171485645
FOODS_1_125_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_126_CA_1_evaluation,0,0.0,0.0,1.0,0.8726087766433561
FOODS_1_127_CA_1_evaluation,0,0.0,0.0,1.0,0.29596254170997055
FOODS_1_128_CA_1_evaluation,0,0.0,19.0,1.0,6.528340885214325
FOODS_1_129_CA_1_evaluation,0,0.0,7.0,1.0,4.3022830426484955
